PoS tag,match word,display word,word length,entity name
NNP,삼성전자,삼성전자,4,
NNP,삼송전자,삼성전자,4,
NNP,삼 송전자,삼성전자,4,
NNP,별삼전자,삼성전자,4,
NNP,1to1,1to1,4,
NNP,21세기환경식품위생신문사,21세기환경식품위생신문사,13,
NNP,가구저널,가구저널,4,
NNP,가슴네트워크,가슴네트워크,6,
NNP,가야시민일보,가야시민일보,6,
NNP,가평타임즈,가평타임즈,5,
NNP,강릉인터넷뉴스,강릉인터넷뉴스,7,
NNP,강원뉴스,강원뉴스,4,
NNP,거제인터넷뉴스,거제인터넷뉴스,7,
NNP,겨레일보,겨레일보,4,
NNP,경기뉴스,경기뉴스,4,
NNP,경기북부인터넷뉴스,경기북부인터넷뉴스,9,
NNP,경기인터넷신문,경기인터넷신문,7,
NNP,경기일일뉴스,경기일일뉴스,6,
NNP,경기조은뉴스,경기조은뉴스,6,
NNP,경남뉴스연합,경남뉴스연합,6,
NNP,경남뉴스위클리,경남뉴스위클리,7,
NNP,경남시사신문,경남시사신문,6,
NNP,경남시사일보,경남시사일보,6,
NNP,경남우리신문,경남우리신문,6,
NNP,경마문화신문,경마문화신문,6,
NNP,경북구미신문,경북구미신문,6,
NNP,경북동부신문,경북동부신문,6,
NNP,경북신문,경북신문,4,
NNP,경북조은뉴스,경북조은뉴스,6,
NNP,경북중부신문,경북중부신문,6,
NNP,경인기독신문,경인기독신문,6,
NNP,경인뉴스,경인뉴스,4,
NNP,경인ip방송,경인ip방송,6,
NNP,경주인터넷뉴스,경주인터넷뉴스,7,
NNP,경주타임즈,경주타임즈,5,
NNP,경춘인터넷뉴스섹션,경춘인터넷뉴스섹션,9,
NNP,고흥보성인터넷뉴스,고흥보성인터넷뉴스,9,
NNP,고흥타임즈,고흥타임즈,5,
NNP,과학기술부뉴스,과학기술부뉴스,7,
NNP,과학소년,과학소년,4,
NNP,과학신문,과학신문,4,
NNP,광명우리뉴스,광명우리뉴스,6,
NNP,광명일보,광명일보,4,
NNP,광명지역신문,광명지역신문,6,
NNP,광양경제신문,광양경제신문,6,
NNP,광양만신문,광양만신문,5,
NNP,광양인터넷뉴스,광양인터넷뉴스,7,
NNP,광역뉴스,광역뉴스,4,
NNP,광주타임즈,광주타임즈,5,
NNP,광진인터넷뉴스,광진인터넷뉴스,7,
NNP,교차로뉴스,교차로뉴스,5,
NNP,교통신문_투어인,교통신문_투어인,8,
NNP,교회연합신문,교회연합신문,6,
NNP,구례신문,구례신문,4,
